Position,Round,Festival Artist,Track,Spotify Artist,Spotify URL,Spotify URI
39,4,Joshua Redman,Alone in the Morning,Joshua Redman Quartet,https://open.spotify.com/track/0ugDEaKeoRfrMIi9EXNYsK,spotify:track:0ugDEaKeoRfrMIi9EXNYsK
40,4,Questlove / Glasper / McBride,Calls,Robert Glasper; Jill Scott,https://open.spotify.com/track/4a240k9KLePPa6QfGX6fXj,spotify:track:4a240k9KLePPa6QfGX6fXj
41,5,Snarky Puppy,Recurrent,Snarky Puppy; Metropole Orkest; Jules Buckley,https://open.spotify.com/track/4pKBD715U9Z9DQgcyVuQYE,spotify:track:4pKBD715U9Z9DQgcyVuQYE
42,5,James Brandon Lewis,A Visit to Reality,Emil Brandqvist Trio,https://open.spotify.com/track/5h6ynaqFmv696sBbLpln8U,spotify:track:5h6ynaqFmv696sBbLpln8U
43,5,The Roots,"Protect Ya Neck (The Jump Off) (feat. Inspectah Deck, Raekwon, Method Man, Masta Killa, RZA, Ghostface Killah, U-God, Cappadonna & GZA)",Wu-Tang Clan; Inspectah Deck; Raekwon; Method Man; Masta Killa; RZA; Ghostface Killah; U-God; Cappadonna; GZA,https://open.spotify.com/track/00JErUuTZnBA8eugXCWGuB,spotify:track:00JErUuTZnBA8eugXCWGuB
44,5,Robert Glasper,Maiden Voyage / Everything In Its Right Place,Robert Glasper,https://open.spotify.com/track/0jyXW8hxeIzX4QwznqVT0E,spotify:track:0jyXW8hxeIzX4QwznqVT0E
45,5,Vincen García,METEORA,AFØNK; Vincen García; Max the Sax,https://open.spotify.com/track/4P4RuPExZSL0Rt2gJuuLum,spotify:track:4P4RuPExZSL0Rt2gJuuLum
46,5,Esperanza Spalding,Why We Speak [Feat. Q-Tip & Esperanza Spalding],Robert Glasper; Q-Tip; Esperanza Spalding,https://open.spotify.com/track/7tQESAjUFNA4vi6xVOTjoQ,spotify:track:7tQESAjUFNA4vi6xVOTjoQ
47,5,RH Factor,Trust,Roy Hargrove,https://open.spotify.com/track/1UceH3dNaxzKSG4qQ1kbp2,spotify:track:1UceH3dNaxzKSG4qQ1kbp2
48,5,Gallowstreet,Hot Lava Sex Machine,Gallowstreet,https://open.spotify.com/track/7j1gnzVksA44vpcDx43vqO,spotify:track:7j1gnzVksA44vpcDx43vqO
49,5,Joshua Redman,Faith,Joshua Redman Quartet,https://open.spotify.com/track/6N63X82T4RLjqHiS2FLSw2,spotify:track:6N63X82T4RLjqHiS2FLSw2
50,5,Questlove / Glasper / McBride,Afro Blue,Robert Glasper; Erykah Badu,https://open.spotify.com/track/7e0j6jReCfN5KJkDNLHyHQ,spotify:track:7e0j6jReCfN5KJkDNLHyHQ
